Seeded RNG: 2356471001
Running IMIS. InitSamples: 50000000, StepSamples: 100000, FinalResamples 100000, MaxIter 3000
Step Var(w_i)  MargLik    Unique Max(w_i)     ESS     Time
 381  2436.37    30.27 60767.27     0.00 36145.56    51.00
 382  2392.63    30.27 60820.70     0.00 36847.77    53.00
 383  2386.07    30.27 60842.60     0.00 36990.95    50.00
 384  2384.79    30.27 60888.70     0.00 37052.67    60.00
 385  2371.79    30.27 60944.10     0.00 37297.84    52.00
 386  2364.45    30.27 61000.80     0.00 37455.94    50.00
 387  2357.54    30.28 61050.30     0.00 37608.07    51.00
 388  2375.94    30.28 61100.32     0.00 37358.88    52.00
 389  2364.57    30.28 61169.11     0.00 37580.87    51.00
 390  2354.39    30.28 61215.71     0.00 37785.64    52.00
 391  2334.11    30.28 61298.80     0.00 38156.71    52.00
 392  2342.05    30.28 61318.72     0.00 38070.08    52.00
 393  2326.20    30.28 61368.67     0.00 38372.35    52.00
 394  2323.90    30.28 61393.13     0.00 38453.28    56.00
 395  2358.26    30.28 61411.87     0.00 37935.65    52.00
 396  2321.50    30.28 61516.07     0.00 38579.20    52.00
 397  2303.18    30.28 61598.82     0.00 38929.22    52.00
 398  2294.33    30.28 61650.81     0.00 39122.91    51.00
 399  2291.17    30.29 61711.35     0.00 39220.56    54.00
 400  2272.53    30.29 61802.13     0.00 39586.06    52.00
 401  2263.48    30.29 61871.36     0.00 39788.36    53.00
 402  2282.81    30.29 61905.30     0.00 39495.39    56.00
 403  2274.39    30.29 61934.65     0.00 39685.57    55.00
 404  2257.38    30.29 61999.31     0.00 40028.62    48.00
 405  2244.11    30.29 62090.60     0.00 40309.88    51.00
 406  2231.12    30.29 62164.87     0.00 40589.18    50.00
 407  2224.79    30.29 62206.37     0.00 40749.66    58.00
 408  2241.28    30.30 62249.45     0.00 40494.52    55.00
 409  2204.41    30.30 62369.19     0.00 41216.75    56.00
 410  2220.74    30.30 62382.16     0.00 40958.86    56.00
 411  2204.22    30.30 62437.02     0.00 41311.10    57.00
 412  2192.80    30.30 62509.10     0.00 41571.63    53.00
 413  2190.86    30.30 62565.76     0.00 41654.06    53.00
 414  2174.49    30.30 62656.90     0.00 42013.53    52.00
 415  2163.85    30.30 62718.94     0.00 42266.18    52.00
 416  2155.13    30.30 62793.06     0.00 42483.46    53.00
 417  2155.24    30.30 62860.44     0.00 42527.80    54.00
 418  2143.87    30.31 62898.31     0.00 42799.72    53.00
 419  2144.97    30.31 62934.15     0.00 42824.55    53.00
 420  2132.82    30.31 62985.87     0.00 43115.14    56.00
 421  2121.38    30.31 63051.15     0.00 43394.78    54.00
 422  2131.28    30.31 63066.71     0.00 43240.20    53.00
 423  2125.27    30.31 63097.29     0.00 43409.36    53.00
 424  2115.15    30.31 63146.63     0.00 43664.19    51.00
 425  2115.94    30.31 63185.37     0.00 43695.06    50.00
 426  2105.34    30.31 63233.29     0.00 43962.58    53.00
