Seeded RNG: 2514336011
Running IMIS. InitSamples: 50000000, StepSamples: 100000, FinalResamples 100000, MaxIter 3000
Step Var(w_i)  MargLik    Unique Max(w_i)     ESS     Time
 223  4745.97    29.81 49078.28     0.00 15230.76    44.00
 224  4636.57    29.82 49161.37     0.00 15611.62    45.00
 225  4546.75    29.82 49303.23     0.00 15941.95    45.00
 226  4629.10    29.82 49293.77     0.00 15680.00    45.00
 227  4707.14    29.83 49269.68     0.00 15441.36    49.00
 228  4577.55    29.84 49360.72     0.00 15900.23    51.00
 229  5447.85    29.85 49232.17     0.00 13378.96    47.00
 230  4714.79    29.85 49368.92     0.00 15479.92    43.00
 231  4623.65    29.85 49456.92     0.00 15806.60    44.00
 232  4736.17    29.86 49517.48     0.00 15452.25    47.00
 233  4523.74    29.86 49653.39     0.00 16199.81    43.00
 234  4582.80    29.86 49663.70     0.00 16012.93    51.00
 235  4558.98    29.86 49763.94     0.00 16118.48    47.00
 236  4990.82    29.87 49711.33     0.00 14744.12    52.00
 237  4504.72    29.87 49869.18     0.00 16356.99    45.00
 238  5324.41    29.88 49710.14     0.00 13858.09    48.00
 239  4525.49    29.87 49878.00     0.00 16326.11    49.00
 240  4609.89    29.88 49831.83     0.00 16048.95    44.00
 241  4556.29    29.88 49919.29     0.00 16259.66    45.00
 242  4778.68    29.88 49969.53     0.00 15524.05    46.00
 243  4651.18    29.89 50006.42     0.00 15971.00    45.00
 244  5230.50    29.89 49985.86     0.00 14221.54    46.00
 245  5234.63    29.90 50022.72     0.00 14229.42    44.00
 246  4830.21    29.90 50179.57     0.00 15441.26    46.00
 247  4616.52    29.90 50306.51     0.00 16177.52    46.00
 248  4635.61    29.91 50384.59     0.00 16132.48    46.00
 249  4537.53    29.91 50465.54     0.00 16503.14    45.00
 250  4596.77    29.91 50472.37     0.00 16312.26    44.00
 251  4510.11    29.91 50574.95     0.00 16647.81    44.00
 252  4885.25    29.92 50561.85     0.00 15390.11    47.00
 253  4601.62    29.92 50560.48     0.00 16360.25    46.00
 254  4662.27    29.93 50552.25     0.00 16168.93    46.00
 255  4480.34    29.93 50706.06     0.00 16847.65    47.00
 256  4443.57    29.93 50760.87     0.00 17009.54    47.00
 257  4417.46    29.93 50830.56     0.00 17132.65    45.00
 258  4393.37    29.94 50869.60     0.00 17249.35    46.00
 259  4354.33    29.94 50981.01     0.00 17426.92    46.00
 260  4318.39    29.94 51072.30     0.00 17595.09    46.00
 261  4322.50    29.94 51123.92     0.00 17601.46    47.00
 262  4264.29    29.94 51220.27     0.00 17865.15    47.00
 263  4209.88    29.95 51308.52     0.00 18119.71    59.00
 264  4183.75    29.95 51324.46     0.00 18256.77    53.00
 265  4286.75    29.96 51296.52     0.00 17841.51    48.00
 266  4271.74    29.96 51398.03     0.00 17927.62    51.00
 267  4244.86    29.97 51484.11     0.00 18064.64    50.00
 268  4209.57    29.97 51525.34     0.00 18239.81    46.00
 269  4281.59    29.97 51509.23     0.00 17956.44    46.00
 270  4178.83    29.97 51621.31     0.00 18421.79    48.00
 271  4274.19    29.98 51682.38     0.00 18034.27    51.00
 272  4114.59    29.98 51892.13     0.00 18757.93    48.00
 273  4070.00    29.99 51970.32     0.00 18987.95    47.00
 274  4053.99    29.99 52017.47     0.00 19087.61    50.00
 275  4041.08    29.99 52078.08     0.00 19173.29    49.00
 276  3993.30    29.99 52173.41     0.00 19427.68    45.00
 277  3982.47    29.99 52203.30     0.00 19505.60    51.00
 278  3975.85    29.99 52237.05     0.00 19563.23    49.00
 279  3975.53    29.99 52305.28     0.00 19589.95    47.00
 280  3948.64    30.00 52375.78     0.00 19748.64    51.00
 281  4773.37    30.00 52245.29     0.00 16358.18    44.00
 282  4317.73    30.00 52464.19     0.00 18107.16    46.00
 283  3965.43    30.00 52602.83     0.00 19740.67    50.00
 284  3929.74    30.01 52725.32     0.00 19945.37    49.00
 285  3871.37    30.01 52835.80     0.00 20271.84    45.00
 286  3849.03    30.01 52918.74     0.00 20415.44    46.00
 287  3980.38    30.01 52895.56     0.00 19767.02    47.00
 288  3908.52    30.01 52969.96     0.00 20155.94    47.00
 289  3838.01    30.01 53061.65     0.00 20552.15    51.00
 290  3823.09    30.01 53104.34     0.00 20658.52    51.00
 291  3913.41    30.02 53136.11     0.00 20207.40    50.00
 292  4472.29    30.02 53122.25     0.00 17705.08    47.00
